,Unnamed: 0,Unnamed: 0.1,label,text,target,indo_tweet,indo_target
55,55,55,positive,"No need for us to say Haziq Nadzli tu, he plays Sea Games, you? there is? How come the school can&#39;t play",Sea Games,"Tak usah kita nak mengata Haziq Nadzli tu , dia main Sea Games , kau ? ada? tah2 kat skolah pun tak dapat main",Sea Games
56,56,56,neutral,Jonatan Christie Delete Men&#39;s Single Dahaga Gold at SEA Games http://dlvr.it/PjVjJb http://pic.twitter.com/kIAvzMO5nL,SEA Games,Jonatan Christie Hapus Dahaga Emas Tunggal Putra di SEA Games http://dlvr.it/PjVjJb http://pic.twitter.com/kIAvzMO5nL,SEA Games
57,57,57,neutral,"The 2017 SEA Games results are not yet on target, Menpora: &amp; 8206; We will evaluate! http://okz.me/CYsZF http://pic.twitter.com/fNpgBerhjY",SEA Games,"Hasil SEA Games 2017 Belum Sesuai Target, Menpora: &8206;Kita akan Evaluasi! http://okz.me/CYsZF http://pic.twitter.com/fNpgBerhjY",SEA Games
58,58,58,positive,"Ms Blaja, you are in the final competition. Not as good as it is, but not the best. Same goes to all SEA games 2017. Congrats Malaysia. U did the best!",SEA games,"Ms blaja, kau struggle smpi final. Bkn sbb tak cerdik tp nk yg terbaik. Same goes to all SEA games 2017. Congrats Malaysia. U did the best!",SEA games
59,59,59,neutral,yeeyyy Thailand wins happy Thailand has got gold in sea games soccer :-),sea games,yeeyyy Thailand menang selamat thailand sudah dapat emas di ajang sepakbola sea games :-),sea games
60,60,60,neutral,"Sports are wrongly dealt with, Indonesia is the country with the largest population, a sluggish achievement in 2017 sea games ...",sea games,"Olah Raga salah di urus, Indonesia negara dengan jumlah penduduk terbesar, prestasi jeblok dalam sea games 2017..",sea games
61,61,61,neutral,HIGHLIGHTS Goals and Opportunities created in the Malaysia vs Thailand match in the SEA Games 2017 final. Https://m.youtube.com/watch?v=M2qnHX lCA0I http://pic.twitter.com/5DrxgMIANA,SEA Games,HIGHLIGHTS Goal dan Peluang-peluang yang tercipta di Pertandingan Malaysia vs Thailand di final SEA Games 2017. https://m.youtube.com/watch?v=M2qnHX lCA0I  http://pic.twitter.com/5DrxgMIANA,SEA Games
62,62,62,neutral,"09 okezonenews The results of the 2017 SEA Games are not yet on target, Menpora: &amp; 8206; We will evaluate! http://pic.twitter.com/RTEcw99ioJ",SEA Games,"09 okezonenews Hasil SEA Games 2017 Belum Sesuai Target, Menpora: &8206;Kita akan Evaluasi!  http://pic.twitter.com/RTEcw99ioJ",SEA Games
63,63,63,neutral,"The target at the 2017 SEA Games is not reached, Menpora apologizes http://dlvr.it/PjVfz8 http://pic.twitter.com/eQhNbHfH2c",SEA Games,"Target di SEA Games 2017 Tak Tercapai, Menpora Minta Maaf http://dlvr.it/PjVfz8 http://pic.twitter.com/eQhNbHfH2c",SEA Games
64,64,64,neutral,5 Indonesian National Team Players SEA Games that can be a Mainstay at AFF 2018 http://bolabanget.id/teaser/765947/5-pemain-timnas-indonesia-sea-games-yang-bisa-jadi-andalan-di-aff-2018 http://pic.twitter.com/oRvSC2QY8R,SEA Games,5 Pemain Timnas Indonesia SEA Games yang Bisa jadi Andalan di AFF 2018 http://bolabanget.id/teaser/765947/5-pemain-timnas-indonesia-sea-games-yang-bisa-jadi-andalan-di-aff-2018  http://pic.twitter.com/oRvSC2QY8R,SEA Games
65,65,65,neutral,Compilation of Indonesian Sea Games U-22 National Team Goals http://fb.me/1WNKDzI3x,Sea Games,Kompilasi Gol Timnas U-22 Indonesia Sepak Bola Sea Games http://fb.me/1WNKDzI3x,Sea Games
66,66,66,neutral,"After the 2017 SEA Games, Luis Milla Has a Big Plan for Indonesian Football http://short.bolasport.com/i5Tj6 via @bolasportcom",SEA Games,"Setelah SEA Games 2017, Luis Milla Punya Rencana Besar untuk Sepak Bola Indonesia http://short.bolasport.com/i5Tj6 via @bolasportcom",SEA Games
67,67,67,neutral,1) get 111 gold medals 8/28 2) win the ball 8/29 3) johan overall closing SEA GAMES 8/30 4) Independence Day 31/8,SEA GAMES,1) dpt 111 pingat emas 28/8 2) menang bola 29/8 3) johan keseluruhan closing SEA GAMES 30/8 4) Hari Kemerdekaan 31/8,SEA GAMES
68,68,68,neutral,"#SekilasInfoGeFM 06.00 Indonesia *** Failed to Reach SEA Games Targets, Menpora Requested to Retreat {http://sea-games.liputan6.com/read/3076065/indonesia-gagal-capai-target-sea-games-menpora-diminta-mundur ? HouseAds &amp; campaign = SEAGames2017_Home_STM}",SEA Games,"#SekilasInfoGeFM 06.00 *** Indonesia Gagal Capai Target SEA Games , Menpora Diminta Mundur { http://sea-games.liputan6.com/read/3076065/indonesia-gagal-capai-target-sea-games-menpora-diminta-mundur?HouseAds&campaign=SEAGames2017_Home_STM  }",SEA Games
69,69,69,neutral,"Why do you have to open the yellow book again, bro, how come the results of the blog at sea games this time?",sea games,"pa menpora harus buka kitab kuning lagi ning, ko hasilnya jeblog di sea games kali ini?",sea games
70,70,70,neutral,"Today the 2017 Sea Games Closing Ceremony will be held at Bukit Jalil National Stadium, Kuala Lumpur, Malaysia ...... http://fb.me/7Bpmzdvil",Sea Games,"Hari ini Closing Ceremony Sea Games 2017 akan digelar di Stadion Nasional Bukit Jalil, Kuala Lumpur, Malaysia...... http://fb.me/7Bpmzdvil",Sea Games
71,71,71,neutral,17 jawapos 5 Indonesian national team players SEA Games that can be a mainstay at AFF 2018 http://jawapos.com/n/154010,SEA Games,17 jawapos 5 Pemain Timnas Indonesia SEA Games yang Bisa jadi Andalan di AFF 2018 http://jawapos.com/n/154010,SEA Games
72,72,72,neutral,Wewey Wita Princess Fighter Wins 2017 SEA Games Gold https://goo.gl/uq7zER via @MimbaRakyat http://pic.twitter.com/Lsj3qAfh03,SEA Games,Pesilat Putri Wewey Wita Raih Emas SEA Games 2017 https://goo.gl/uq7zER via @MimbaRakyat http://pic.twitter.com/Lsj3qAfh03,SEA Games
73,73,73,neutral,#popular #News List of SEA Games Medal Achievements Tuesday (29/8) http://dlvr.it/PjVb8W @inilahdotcom/http://pic.twitter.com/x5OzB2SBmW,SEA Games,#terpopuler #news Daftar Perolehan Medali SEA Games Selasa (29/8) http://dlvr.it/PjVb8W @inilahdotcom/http://pic.twitter.com/x5OzB2SBmW,SEA Games
74,74,74,negative,as long as no under 18 can enter sea games? too late nak register,sea games,asal tak cakap under 18 pun boleh masuk sea games ? too late nak register,sea games
75,75,75,neutral,MALAYSIA vs THAILAND SEA GAMES 2017: http://youtu.be/13-Lzr_8ANc?a via @YouTube,SEA GAMES,MALAYSIA vs THAILAND SEA GAMES 2017: http://youtu.be/13-Lzr_8ANc?a melalui @YouTube,SEA GAMES
76,76,76,neutral,INDONESIA VS MYANMAR 3 - 1 ~ INDONESIA REBUT DEVOTIONAL SEA GAMES MEDAL 2017 BALL: http://youtu.be/ReSij7Mu0ws?a via @YouTube,SEA GAMES,INDONESIA VS MYANMAR 3 - 1 ~ INDONESIA REBUT MEDALI PERUNGGU SEA GAMES 2017 SEPAK BOLA: http://youtu.be/ReSij7Mu0ws?a melalui @YouTube,SEA GAMES
77,77,77,neutral,Jonatan Christie&#39;s Uploads After Getting the 2017 SEA Games Gold Medal http://dlvr.it/PjVYGb http://pic.twitter.com/7JL5tehisk,SEA Games,Unggahan Jonatan Christie Setelah Mendapat Medali Emas SEA Games 2017 http://dlvr.it/PjVYGb http://pic.twitter.com/7JL5tehisk,SEA Games
78,78,78,negative,Kemenpora &#39;Kiss&#39; the existence of fraud in the SEA Games 2017 @DreamersRadioID #DreamersXMubank http://www.dreamers.id/article/65915/kemenpora-cium-is-cecurangi-di-sea-games-2017?utm_campaign=aplikasi&amp;utm_medium=artikel&amp;utm_source= app http://pic.twitter.com/DOZtDZHPV5,SEA Games,Kemenpora 'Cium' Adanya Kecurangan di SEA Games 2017 @DreamersRadioID #DreamersXMubank http://www.dreamers.id/article/65915/kemenpora-cium-adanya-kecurangan-di-sea-games-2017?utm_campaign=aplikasi&utm_medium=artikel&utm_source=app  http://pic.twitter.com/DOZtDZHPV5,SEA Games
79,79,79,neutral,"must read: List of SEA Games Medal Achievements Tuesday (29/8): Sumedang Media, Jakarta Hari https://goo.gl/fb/XfMdUx",SEA Games,"must read : Daftar Perolehan Medali SEA Games Selasa (29/8): Sumedang Media, Jakarta  Hari https://goo.gl/fb/XfMdUx",SEA Games
80,80,80,neutral,"TODAY&#39;S HEADLINE #GMY: Target in 2017 SEA Games Not Reached, Menpora Apologize (via: https://goo.gl/MYDY4Z)",SEA Games,"#GMY TODAY'S HEADLINE: Target di SEA Games 2017 Tak Tercapai, Menpora Minta Maaf (via: https://goo.gl/MYDY4Z )",SEA Games
81,81,81,neutral,Here&#39;s the fate of Luis Milla and the U-22 national team after the 2017 SEA Games http://tz.ucweb.com/8_2uB3N,SEA Games,Begini Nasib Luis Milla dan Timnas U-22 Setelah SEA Games 2017 http://tz.ucweb.com/8_2uB3N,SEA Games
82,82,82,positive,Goose bumps see Indonesian athletes who get medals at the Sea Games,Sea Games,Merinding lihat atlet atlet Indonesia yang dapat medali di Sea Games,Sea Games
83,83,83,neutral,"The target of the SEA Games misses, Menpora gets backward pressure http://dlvr.it/PjVVvd LIPUTAN6",SEA Games,"Target SEA Games Meleset, Menpora Dapat Desakan Mundur http://dlvr.it/PjVVvd LIPUTAN6",SEA Games
84,84,84,negative,by way of lack of sportsmanship RT @BolaSportcom: SEA Games 2017 - Malaysia Overall Champion SEA Games After (cont) http://tl.gd/no2p21,SEA Games,dengan cara kurang sportif RT @BolaSportcom : SEA Games 2017 - Malaysia Juara Umum SEA Games Setelah (cont) http://tl.gd/no2p21,SEA Games
85,85,85,negative,by way of lack of sportsmanship RT @BolaSportcom: SEA Games 2017 - Malaysia Overall Champion SEA Games After (cont) http://tl.gd/no2p21,SEA Games,dengan cara kurang sportif RT @BolaSportcom : SEA Games 2017 - Malaysia Juara Umum SEA Games Setelah (cont) http://tl.gd/no2p21,SEA Games
