text,target,label,start,end
"I posted 15 photos on Facebook in the album ""PICK IT UP 23/10/11"" http://t.co/GO2tlMNc",Facebook,neutral,5,6
Is long-distance running bad for heart ? ( Post Gazette ): Share With Frien ds: | | Travel - Adventure Travel News ... http://t.co/INGajE2c,Post Gazette,neutral,8,10
Internet Marketing Agency Make Money Online Business Course - Work Online and Make Money . http://bit.ly/bDsBJ6,Internet Marketing Agency,neutral,0,3
Cannabis News Video : Billionaire Richard Branson talks about ending the War on Drugs . : http://t.co/yfucws0L via @AddThis,Richard Branson,neutral,5,7
Prada sale s coming ... Wat to buy ...,Prada,positive,0,1
"Beyond Snapshot s: How to Take That Fancy DSLR Camera Off ""Auto"" and Photograph Your Life like a Pro : Rachel Devi ... http://t.co/uagUV4qw",Rachel Devi,neutral,20,22
HIT - 100 FREE MORE TWITTER FOLLOWERS ! http://tinyurl.com/2e4chmv,TWITTER,neutral,5,6
Mouth-watering Red Zone Buffalo Wing s: http://bit.ly/dvfCa1,Red Zone,positive,1,3
"Trail Blazers 86 , Hornets 74 : Postgame quotes and note s: I don't understand why people are talking about divisio ... http://t.co/WVx26Fmd",Trail Blazers,neutral,0,2
"Trail Blazers 86 , Hornets 74 : Postgame quotes and note s: I don't understand why people are talking about divisio ... http://t.co/WVx26Fmd",Hornets,neutral,4,5
Canadian Transpromo Leader Adding Second OcÃ© JetStream ... - CNW Group http://tinyurl.com/2dmk5jh,OcÃ© JetStream,neutral,5,7
Canadian Transpromo Leader Adding Second OcÃ© JetStream ... - CNW Group http://tinyurl.com/2dmk5jh,CNW Group,neutral,9,11
Bipasha is looking like a billion dollar bill : RGV http://t.co/0z7JhBQv,Bipasha,neutral,0,1
listening to Dockyard by Paul Kalkbrenner on @Grooveshark : http://tinysong.com/eIFz #nowplaying,Paul Kalkbrenner,positive,4,6
"@fmdroid .. cause everybody in ecuador use boring blackberries or iphones , ill buy the samsung galaxy S2 but I mean ....",samsung,neutral,15,16
"JB Pre ss: the unveiling of 'Ollie , the Dragon Lego' for Thistle Johor Bahru is tomorrow ( 20 Jan ) at 11am ( main lobby ) , followed by lunch :)",JB Pre ss:,neutral,0,3
"JB Pre ss: the unveiling of 'Ollie , the Dragon Lego' for Thistle Johor Bahru is tomorrow ( 20 Jan ) at 11am ( main lobby ) , followed by lunch :)",Thistle Johor Bahru,neutral,12,15
"Discuss the law of attraction , book Kevin Trudeau for an interview today ! Click http://tinyurl.com/yatqcqu",Kevin Trudeau,neutral,7,9
Celtics vs . Magic - NBA Videos and Highlights http://t.co/KnukAdfB,Celtics,neutral,0,1
Celtics vs . Magic - NBA Videos and Highlights http://t.co/KnukAdfB,Magic,neutral,3,4
Celtics vs . Magic - NBA Videos and Highlights http://t.co/KnukAdfB,NBA,neutral,5,6
Tommorrow is my final day at ITP . i'm just so happy this demanding course will end,ITP,negative,6,7
Lego Space Shuttle Nearly Reaches Space [ VIDEO ]: NASA â?? s storied space shuttle program may be history but ships a ... http://t.co/TaFf7Kn6,NASA,neutral,9,10
Channing tatum *_* & lt ; 3,Channing tatum,neutral,0,2
How do you know google is a woman ? She won't let you finish the whole sentence before she starts guessing and suggesting ! #google,google,negative,4,5
In defense of RSS via Seth Godin http://is.gd/k9Wvy,Seth Godin,neutral,5,7
I favorited a @YouTube video http://t.co/KbwwumO2 Hitler's First Speech in Power w . Goebbels Intro 1933 10min,Hitler's,positive,6,7
I favorited a @YouTube video http://t.co/KbwwumO2 Hitler's First Speech in Power w . Goebbels Intro 1933 10min,Goebbels,neutral,13,14
"Ultimate Betrayal of Trust Penn State Coach Raped Kids , Admin Covered Up ;) penn state http://t.co/qEGdP7RV",Penn State Coach,negative,4,7
"Ultimate Betrayal of Trust Penn State Coach Raped Kids , Admin Covered Up ;) penn state http://t.co/qEGdP7RV",Admin,negative,10,11
"Ultimate Betrayal of Trust Penn State Coach Raped Kids , Admin Covered Up ;) penn state http://t.co/qEGdP7RV",penn state,negative,14,16
3 weeks ago cecil stoeltzing advise the rotate . 207 . Gathered ?,cecil stoeltzing,neutral,3,5
Free New York Giants vs . Green Bay Packers - Live NFL Game : Facebook forum Statistics : 1 Post || 5 Views Post by sksm http://t.co/Sh6uh98B,New York Giants,neutral,1,4
Free New York Giants vs . Green Bay Packers - Live NFL Game : Facebook forum Statistics : 1 Post || 5 Views Post by sksm http://t.co/Sh6uh98B,Green Bay Packers,neutral,6,9
Free New York Giants vs . Green Bay Packers - Live NFL Game : Facebook forum Statistics : 1 Post || 5 Views Post by sksm http://t.co/Sh6uh98B,NFL,neutral,11,12
Free New York Giants vs . Green Bay Packers - Live NFL Game : Facebook forum Statistics : 1 Post || 5 Views Post by sksm http://t.co/Sh6uh98B,Facebook,neutral,14,15
Free New York Giants vs . Green Bay Packers - Live NFL Game : Facebook forum Statistics : 1 Post || 5 Views Post by sksm http://t.co/Sh6uh98B,sksm,neutral,25,26
is still half clueless about twitter haha,twitter,neutral,5,6
"VegeBenefits Go ss: Re : Cheat days ? : Quote from : mrsrazon on March 04 , 2012 , 09 : 53 : 00 PMMy question is , why does ... http://t.co/vNe2ldf5",mrsrazon,neutral,12,13
Inspiring ! RT @rushay : Brazilian President Dilma Rousseff : From Imprisoned Guerrilla Fighter to The Most ( cont ) http://tl.gd/7t9r7e,Brazilian President,positive,5,7
Inspiring ! RT @rushay : Brazilian President Dilma Rousseff : From Imprisoned Guerrilla Fighter to The Most ( cont ) http://tl.gd/7t9r7e,Dilma Rousseff,positive,7,9
"NET10 prepaid wireless service , the frequent user service from TracFone . http://bit.ly/bsbkTn",TracFone,neutral,10,11
"FDA Device Panel Gives Nod to New Stent for PAD - ( MedPage Today ) -- GAITHERSBURG , Md . -- An FDA advisory committee ... http://t.co/XRnJv2vS",FDA Device Panel,neutral,0,3
"FDA Device Panel Gives Nod to New Stent for PAD - ( MedPage Today ) -- GAITHERSBURG , Md . -- An FDA advisory committee ... http://t.co/XRnJv2vS",MedPage Today,neutral,12,14
Waste New s: Mayor Bloomberg to unveil recycling initiatives for NYC http://t.co/qjCFOCRv,Mayor Bloomberg,neutral,3,5
New Blog Post : iZigg Agent Jennifer Varenka on CRUSH IT ! and winning a coaching session with â?¦ http://t.co/SO8VXPc9,iZigg,neutral,4,5
New Blog Post : iZigg Agent Jennifer Varenka on CRUSH IT ! and winning a coaching session with â?¦ http://t.co/SO8VXPc9,Jennifer Varenka,neutral,6,8
OMG . McDonalds Has Wine on the Menu in South America http://t.co/ZcEQxbRH Plz RT,McDonalds,neutral,2,3
Check this video out --&gt ; Why the West is Coming to Islam ? - By Dr . Zakir Naik (4/17)http://www.youtube.com/watch?v=n4esjjzumuQ,Islam,neutral,12,13
Check this video out --&gt ; Why the West is Coming to Islam ? - By Dr . Zakir Naik (4/17)http://www.youtube.com/watch?v=n4esjjzumuQ,Dr . Zakir Naik,neutral,16,20
great american cookies ... daaaa best !,great american cookies,positive,0,3
AmazonBasics Silicone Case for AT & T and Verizon iPhone 4 and iPhone 4S ( Black ): AmazonBasics Silicone Case for A ... http://t.co/LDu9IaR7,AT & T,neutral,4,7
AmazonBasics Silicone Case for AT & T and Verizon iPhone 4 and iPhone 4S ( Black ): AmazonBasics Silicone Case for A ... http://t.co/LDu9IaR7,Verizon,neutral,8,9
Not following anyone on Twitter because of privacy issues ? Protecting Your Privacy with Twitter ! http://fb.me/VxfQC74E,Twitter,negative,4,5
"Triplefin Achieves a Microsoft Gold Digital Marketing Competency in the ... : CINCINNATI , OH -- ( Marketwire - March ... http://t.co/CFLLzZsd",Triplefin,neutral,0,1
"Triplefin Achieves a Microsoft Gold Digital Marketing Competency in the ... : CINCINNATI , OH -- ( Marketwire - March ... http://t.co/CFLLzZsd",Microsoft,neutral,3,4
"Triplefin Achieves a Microsoft Gold Digital Marketing Competency in the ... : CINCINNATI , OH -- ( Marketwire - March ... http://t.co/CFLLzZsd",Marketwire,neutral,17,18
Zettaset Names Timothy Straight Vice President of Sales and Business Development : Straight was most recently Vic ... http://t.co/Ji5eqAcj,Zettaset,neutral,0,1
Zettaset Names Timothy Straight Vice President of Sales and Business Development : Straight was most recently Vic ... http://t.co/Ji5eqAcj,Timothy Straight,neutral,2,4
Zettaset Names Timothy Straight Vice President of Sales and Business Development : Straight was most recently Vic ... http://t.co/Ji5eqAcj,Straight,neutral,12,13
New post : Credit Card Debt Consolidation : Apply Today - BigNews.biz ( press release ) ( http://cli.gs/edTHt),BigNews.biz,neutral,11,12
Whitney Houston is not yet buried and the money vultures are already out http://t.co/fuvM5TWo,Whitney Houston,neutral,0,2
"More period work for Downton star : Based on a true story , Stevens' character is Gilbert Evans , a land agent for ... http://t.co/2FgMaGJX",Stevens',neutral,13,14
"More period work for Downton star : Based on a true story , Stevens' character is Gilbert Evans , a land agent for ... http://t.co/2FgMaGJX",Gilbert Evans,neutral,16,18
"My daughter upon turning 8 said , ""Hey , Dad , now I'm a Tween"" , to which I responded , ""Sorry , honey , you're still a Twirp"" .",My daughter,positive,0,2
It was nice taking the time off and being with fellow animators from other places . Awazu kanto's texturing skills are frikken amazing,Awazu kanto's,positive,16,18
"Very cool set of #vintage logo #designs @designstreamin , definitely worth checking out http://t.co/bwHiB90C",@designstreamin,positive,7,8
It's hard to tell whether you're really growing more intimate ... More for Leo http://t.co/g19Qv57k,Leo,neutral,13,14
Scarlett Johansson Has Joined The Growing List Of Famous Actresses Who Also Direct http://t.co/EI6CXFPF,Scarlett Johansson,neutral,0,2
It's Here ! 'The Selina Ray Show' Encore Presentation : Pregnancy & am p; Unassisted Birth w/ Lorinda Rainwater http://t.co/mIwrz2lk,Selina Ray,neutral,4,6
It's Here ! 'The Selina Ray Show' Encore Presentation : Pregnancy & am p; Unassisted Birth w/ Lorinda Rainwater http://t.co/mIwrz2lk,Lorinda Rainwater,neutral,17,19
BBC News Australia leadership PM Gillard defeats Kevin Ru dd: Australian PM Julia Gillard defeats Kevin Rudd in t ... http://t.co/HSBuV2nk,BBC News,neutral,0,2
BBC News Australia leadership PM Gillard defeats Kevin Ru dd: Australian PM Julia Gillard defeats Kevin Rudd in t ... http://t.co/HSBuV2nk,PM,neutral,4,5
BBC News Australia leadership PM Gillard defeats Kevin Ru dd: Australian PM Julia Gillard defeats Kevin Rudd in t ... http://t.co/HSBuV2nk,Gillard,neutral,5,6
BBC News Australia leadership PM Gillard defeats Kevin Ru dd: Australian PM Julia Gillard defeats Kevin Rudd in t ... http://t.co/HSBuV2nk,Kevin Ru dd:,neutral,7,10
BBC News Australia leadership PM Gillard defeats Kevin Ru dd: Australian PM Julia Gillard defeats Kevin Rudd in t ... http://t.co/HSBuV2nk,PM,neutral,11,12
BBC News Australia leadership PM Gillard defeats Kevin Ru dd: Australian PM Julia Gillard defeats Kevin Rudd in t ... http://t.co/HSBuV2nk,Julia Gillard,positive,12,14
BBC News Australia leadership PM Gillard defeats Kevin Ru dd: Australian PM Julia Gillard defeats Kevin Rudd in t ... http://t.co/HSBuV2nk,Kevin Rudd,neutral,15,17
"TONIGHT ( Democratic Republic of Music , Tur 10 , 8.30pm ): Based in Brussels , this Belgian-Tunisian singer is passing ... http://t.co/fY015r8n",Democratic Republic of Music,neutral,2,6
â?? Deleted â?? Season 1 â?? Lost â?? Scene Shown at Comic-Con http://t.co/AOR7OiA,Comic-Con,neutral,11,12
Make Short Url for Google+ Profile http://t.co/6tIIERd,Google+,neutral,4,5
"I posted 8 photos on Facebook in the album ""Stonelite Furniture tables lifestyle shots"" http://fb.me/Fqup1KM8",Facebook,neutral,5,6
"@ParisHilton Paris , what do you think of Islam ??",Paris,neutral,1,2
I posted a new photo to Facebook http://t.co/PFVJd69P,Facebook,neutral,6,7
"@hfreij hey Sehs , how's your trip ? Still in Miami ? Irene is a bitch , stay away from her lol",Sehs,neutral,2,3
"@hfreij hey Sehs , how's your trip ? Still in Miami ? Irene is a bitch , stay away from her lol",Irene,negative,12,13
Aliens are very curious about the Chevy Volt in the manufacturer's 2012 Super Bowl Ad . http://t.co/go4MCUTI,Chevy,positive,6,7
Gadget Guru's 62 is live ! Jacob is going to review his new monitor and Nick the Otterbox Commuter case ! http://j.mp/cLudie,Jacob,neutral,6,7
Gadget Guru's 62 is live ! Jacob is going to review his new monitor and Nick the Otterbox Commuter case ! http://j.mp/cLudie,Nick,neutral,15,16
"Automate your social marketing on Twitter . Plan it , set it , and forget it . http://www.socialoomph.com/92987.html",Twitter,neutral,5,6
Confessions of an Economic Hitman : John Perkins was economic hit man for an international consulting firm that w ... http://t.co/iTpIsEF0,John Perkins,negative,6,8
I bought Mac OS X Lion From apple Canada Store http://t.co/oUQmJDW,Mac OS,neutral,2,4
played the song 'Sirens ( ft . Sev Sanders ) ' by Kimberley Locke on @myspace http://t.co/t1pYBqcg,Sev Sanders,neutral,7,9
played the song 'Sirens ( ft . Sev Sanders ) ' by Kimberley Locke on @myspace http://t.co/t1pYBqcg,Kimberley Locke,neutral,12,14
Samsung GALAXY Ace 2 and GALAXY Mini 2 revealed ! http://t.co/dtojDoZn,Samsung,neutral,0,1
"prof in course outline . "" â?? A hero is a man who does what he can . The others do not do it . â?? â?? Romain Rolland ( Nobel laureate in literature ) """,Romain Rolland,neutral,27,29
"prof in course outline . "" â?? A hero is a man who does what he can . The others do not do it . â?? â?? Romain Rolland ( Nobel laureate in literature ) """,Nobel,neutral,30,31
"Aristotle developed a theory on progressive ensoulment from vegetative , then animal , then human . ( cont ) http://tl.gd/82jsfu",Aristotle,positive,0,1
"@HalaGorani Rally for #Syria in #NYC on Saturday at 1pm in front of the UN , organized by Arab Americans for Democracy in Syria . #Daraa",UN,neutral,14,15
"@HalaGorani Rally for #Syria in #NYC on Saturday at 1pm in front of the UN , organized by Arab Americans for Democracy in Syria . #Daraa",Arab Americans for Democracy in,neutral,18,23
I just unlocked the Explorer badge on @foursquare! Http://t.co/wLlj4L3h,@foursquare!,neutral,7,8
Spokesman for the Coalition : The #Afghan #Parlaiment Speaker Should Resign http://t.co/eMc4hKqG via @afbamdad,#Afghan #Parlaiment Speaker,negative,6,9
Just got back from my Great Grandma's . Now about to go to the grocery store .,Great Grandma's,neutral,5,7
I posted a new photo to Facebook http://t.co/i2uca4fl,Facebook,neutral,6,7
""" @ MattBennett : ""I play Robbie on the show."" -me to strangers all the time."" It sucks u.u",Robbie,negative,6,7
I imagine that the pain from the explosion of instant mashed potatoes is what hot lava feels like . Send FEMA mobile burn unit now please !,FEMA,neutral,20,21
Apple Bought This Entrepreneur's Last Ad Tech Company -- Now He's Taking ... http://t.co/7TNtCrjD,Apple,neutral,0,1
"Engineer/Architect AED 8 , 000 - 9 , 000 p.m . We are a Fit-Out/FF & E Company based in Dubai UAE , we urgently need an ... http://t.co/MU73n7bI",Fit-Out/FF & E Company,neutral,14,18
I posted a new photo to Facebook http://t.co/SsCrssHt,Facebook,neutral,6,7
"""Ultimate Fighter"" Reality Show Rising Star Has Gay Porn Background [ The Gays ] http://t.co/oz9gCFo7 #TwitNewsNow",The Gays,neutral,11,13
Rolland Safe and Lock is wherever you are ! When in need we will help !,Rolland Safe and Lock,positive,0,4
#WorldNews Switzerland's 'Mr . Swatch' Dead At 82 http://n.pr/c3nRd0,#WorldNews,neutral,0,1
Singapore Presidential Elections 2011 | Your Vote 2011 - Yahoo ! Singapore News http://t.co/TbSWsr3 via @yahoosg,Yahoo,neutral,9,10
I liked a @YouTube video http://t.co/Sr89beaz The Black Keys - Next Girl,The Black Keys,positive,6,9
Has President Obama Joined Pinterest ? http://t.co/GpNtT636 Interesting story from #mashable,President Obama,neutral,1,3
Has President Obama Joined Pinterest ? http://t.co/GpNtT636 Interesting story from #mashable,Pinterest,neutral,4,5
"Seiten Taisei's 2nd Music Video : ""Love's Flight Diary"" will release on Feb 22nd ... Directed by Shun , cinematographer by Ricotaro Minami",Seiten Taisei's,neutral,0,2
"Seiten Taisei's 2nd Music Video : ""Love's Flight Diary"" will release on Feb 22nd ... Directed by Shun , cinematographer by Ricotaro Minami",Shun,neutral,17,18
Skype is a fucking life saver .,Skype,positive,0,1
"I'm selling St George England Flag Real Leather 20"" Filled Cushion on eBay . View it here : http://bit.ly/cNIp2u",St George England,neutral,2,5
"I'm selling St George England Flag Real Leather 20"" Filled Cushion on eBay . View it here : http://bit.ly/cNIp2u",eBay,neutral,12,13
Get your 40 % Discount at DailyLook for Friends and Family ! Just tweet to unlock your discount code . http://t.co/SMgjjqAT via @dailylookUS,DailyLook,positive,6,7
"FreelanceWritingDesk Sam Rayburn : ""No one has a finer command of language than the person who keeps his mouth shut."" http://t.co/zhKZ2Mcd",Sam Rayburn,neutral,1,3
#NowPlaying 'Dance With Me' by @AARONCARTER7 featuring Flo Rida - Download it on iTunes ! http://bit.ly/8cFidZ #AaronCarter #AC2010,Flo Rida,neutral,7,9
#NowPlaying 'Dance With Me' by @AARONCARTER7 featuring Flo Rida - Download it on iTunes ! http://bit.ly/8cFidZ #AaronCarter #AC2010,#AaronCarter,positive,16,17
Never try anything new on race day - good advice ! Salt Lake City Arts & Entertainment - Get Out : Tips From Triathletes http://t.co/fgW5Zh1A,Salt Lake City Arts & Entertainment,positive,11,17
These Guitar Pics Hand stamped by my friend Aly of Jeraly are AwEsOmE ! http://t.co/Zq9GvfzC,Aly of Jeraly,positive,8,11
"Special #shoutout #ff goes to Casey Freeman @MRkcFreeman Congratulations on the book KC , here's to many more to come .",Casey Freeman,positive,5,7
"Special #shoutout #ff goes to Casey Freeman @MRkcFreeman Congratulations on the book KC , here's to many more to come .",KC,positive,12,13
#cgen auditions day 2 . Renee & I are joined Finch on the audition panel ! ( @ Old Queensland Museum ) [ pic ]: http://t.co/ers50T6B,Renee,neutral,5,6
#cgen auditions day 2 . Renee & I are joined Finch on the audition panel ! ( @ Old Queensland Museum ) [ pic ]: http://t.co/ers50T6B,Finch,neutral,10,11
#cgen auditions day 2 . Renee & I are joined Finch on the audition panel ! ( @ Old Queensland Museum ) [ pic ]: http://t.co/ers50T6B,Queensland Museum,neutral,19,21
"@dianna3335 That's why people need a Virgin Mattress , one free of all that mess ! http://ht.ly/38ZlP We prefer those with VertiCoil Edge !",@dianna3335,neutral,0,1
@BarackObama please do something about # Syria . We don't need invasion but some pressure on the brutal #Asad dictatorship !!! Ppl are dying !!,@BarackObama,neutral,0,1
@BarackObama please do something about # Syria . We don't need invasion but some pressure on the brutal #Asad dictatorship !!! Ppl are dying !!,#Asad,negative,18,19
News & Gossip From Robert Puddy ( Here's 23 pages of rock-solid content for free ( $ 47 value ) http://t.co/5LvXg32p,Robert Puddy,neutral,4,6
"Facebook App may access your texts messages , but it's not ... http://t.co/6AOKK1zl",Facebook,neutral,0,1
Ã¢Â?Â? @ BarackObama : International community soft words MUST end . Assad is not a reformer he is a Dictator and your silence makes it worst . #Syria,BarackObama,neutral,2,3
http://bit.ly/cTsRZh 1 Rosie Huntington-Whiteley Struts Her Victoria â?? s Secret Wings :),Rosie Huntington-Whiteley,positive,2,4
http://bit.ly/cTsRZh 1 Rosie Huntington-Whiteley Struts Her Victoria â?? s Secret Wings :),Victoria â?? s Secret,positive,6,10
Employee engagement lessons from the Winnipeg Jets . Lesson 5 : Progress and Set backs . http://t.co/cgAb3Czc,Winnipeg Jets,neutral,5,7
"Beginning September 6 , 2011 , by visiting m.dell.com on an Android mobile device ( a pop-up screen will prompt users to download ) #dellapp",Android,neutral,11,12
"The Story Tellers live at Rhodes Arts Complex , Bishops Stortford http://t.co/MY8zPpR3",The Story Tellers,neutral,0,3
Today Well Lived Will Make Tomorrow a Vision Of Hope : Cheers !! Joyce and Ray : http://bit.ly/GoldenBlog,Joyce,neutral,13,14
Today Well Lived Will Make Tomorrow a Vision Of Hope : Cheers !! Joyce and Ray : http://bit.ly/GoldenBlog,Ray,neutral,15,16
"Michael Anderson , Co-founder Aboriginal Tent Embassy says they dont want to be part of the Aust Constitution coz Aust is racist & liars #RA",Michael Anderson,neutral,0,2
"Michael Anderson , Co-founder Aboriginal Tent Embassy says they dont want to be part of the Aust Constitution coz Aust is racist & liars #RA",Aboriginal Tent Embassy,neutral,4,7
"Michael Anderson , Co-founder Aboriginal Tent Embassy says they dont want to be part of the Aust Constitution coz Aust is racist & liars #RA",Aust Constitution,negative,16,18
"Michael Anderson , Co-founder Aboriginal Tent Embassy says they dont want to be part of the Aust Constitution coz Aust is racist & liars #RA",Aust,negative,19,20
""" @ iLikeGirlsDaily : WTF , I didn't even notice The Rock in this photo : http://t.co/lyQZc8rn - can you spot him ? """,The Rock,neutral,10,12
"http://t.co/3lC2x18k The Definitive Guide To Google AdSense 43 Chapters , 101 pages+ of AdSense Insider Secrets",Google,neutral,5,6
From Occupation to â?? Occupy â?? : The Israelification of American Domestic Security http://t.co/diuZaDXv #occupy #occupyamsterdam #egypt,Occupy,neutral,4,5
From Occupation to â?? Occupy â?? : The Israelification of American Domestic Security http://t.co/diuZaDXv #occupy #occupyamsterdam #egypt,#occupyamsterdam,neutral,15,16
Visit http://goo.gl/kUa9H and vote for Chayanne in the Eventful 2011 Latin Fans' Choice Awards 27,Chayanne,positive,5,6
Visit http://goo.gl/kUa9H and vote for Chayanne in the Eventful 2011 Latin Fans' Choice Awards 27,Eventful,neutral,8,9
Avail discounts on Jersey Boys Fort Lauderdale FL Tickets | http://t.co/HVdxDKz0,Jersey Boys,neutral,3,5
Qatar adopts new listing and IPO rules - MENA1 Monday 3 Jan '12 Round up http://t.co/dneOgUgJ,IPO,neutral,5,6
987FM's Nine in a row starts at 10am ! What happens is you'll get 9 songs back to back and commercial free ; every ... http://t.co/Vb9ZoyQ9,987FM's,positive,0,1
& # 9829 ; It's Now or Never by Elvis Presley # lastfm : http://t.co/NxFq5Bto,Elvis Presley,neutral,9,11
gave a thumbs up to harsha's comment : they should not be released they should die in jail ............ http://t.co/C9YwMLTQ,harsha's,positive,5,6
White House condemned the assassination of Kurdish opposition leader Mishaal al-Tammo in Syria- VOK Radio : http://t.co/ndAIRtLJ via @AddThis,Mishaal al-Tammo,neutral,9,11
White House condemned the assassination of Kurdish opposition leader Mishaal al-Tammo in Syria- VOK Radio : http://t.co/ndAIRtLJ via @AddThis,VOK Radio,neutral,13,15
"Ustaz , you make me wanna smack your mouth !",Ustaz,negative,0,1
Four Seasons' new website makes bold bet on social media http://t.co/qLamEGPU,Four Seasons',neutral,0,2
"Steve Novak , trending worldwide on #Twitter - http://t.co/IztR6E1a",Steve Novak,positive,0,2
Greece eyes 1 billion euro stimulus from EIB : PM adviser : Greece hopes to get 1 billion euros ( $ 1.31 billion ) in ... http://t.co/PRp90n38,EIB,neutral,7,8
Google Triples the speed of +1 button http://ow.ly/5ODxE,Google,neutral,0,1
@MahaElHajj it's true .. Watch the last part where ppl are fighting with the securities of the mall ?? Don't blame them when they come here,@MahaElHajj,neutral,0,1
NYSE Liffe US Acquires Exclusive Futures Licenses to Trade 41 MSCI Indexes - Bloomberg http://tinyurl.com/23elsuw,NYSE,neutral,0,1
NYSE Liffe US Acquires Exclusive Futures Licenses to Trade 41 MSCI Indexes - Bloomberg http://tinyurl.com/23elsuw,MSCI,neutral,10,11
NYSE Liffe US Acquires Exclusive Futures Licenses to Trade 41 MSCI Indexes - Bloomberg http://tinyurl.com/23elsuw,Bloomberg,neutral,13,14
"Choose NBI for insulation , air sealing , windows and doors , furnaces , air conditioners and en energy efficient appliances .",NBI,positive,1,2
"The whole media is corrupt , follow ppl you trust !! @laurenflax @CNN #londonroits",@CNN,neutral,12,13
ESPN poll says Tebow is nation's most popular athlete . Video and story : http://t.co/w3yfnCUo,ESPN,neutral,0,1
ESPN poll says Tebow is nation's most popular athlete . Video and story : http://t.co/w3yfnCUo,Tebow,positive,3,4
@breakingbenj LOVE U MUSIC !!! SAY HI TO ME CARO FROM COLOMBIA ;) & lt ; 3 EVIL ANGEL & lt ; 3,@breakingbenj,positive,0,1
@breakingbenj LOVE U MUSIC !!! SAY HI TO ME CARO FROM COLOMBIA ;) & lt ; 3 EVIL ANGEL & lt ; 3,CARO,positive,9,10
@Silvia_Pradilla : O What ??? Tell me everything !,@Silvia_Pradilla,neutral,0,1
"Nanny tried out for Real Housewives of NY , but @BravoAndy reminded her she is not , in fact , a wife , nor does she actually have a house .",Real Housewives of,neutral,4,7
I've just unlocked the Two Pair are Better than One ( 5 points ) achievement in #THKLive for # BlackBerry !,BlackBerry,neutral,19,20
"Apple iPad Shipments Suddenly Rise : Next Tablet in Stores by Weekend ? [ REPORT ]: However , Apple Stores and other ... http://t.co/IJNu8cNQ",Apple,neutral,0,1
"Apple iPad Shipments Suddenly Rise : Next Tablet in Stores by Weekend ? [ REPORT ]: However , Apple Stores and other ... http://t.co/IJNu8cNQ",Apple,neutral,18,19
Internet and Websites : Novel Free Backlink Software Assist Websites Get ... http://t.co/Sc9BNjRZ,Novel,neutral,4,5
IHRDC founder Payam Akhavan -- Canada : Haven of Choice for Iran's Elite http://t.co/al3v08s4 #Iran,IHRDC,neutral,0,1
IHRDC founder Payam Akhavan -- Canada : Haven of Choice for Iran's Elite http://t.co/al3v08s4 #Iran,Payam Akhavan,neutral,2,4
@FeedingBroward LifeNet4Families Feeding the Homeless Families in Broward County http://ow.ly/6pbji #FollowBack,LifeNet4Families,neutral,1,2
"""India is the most important neighbour"" says Gilani.Is it ??",Gilani.Is,neutral,7,8
Sun Softwares is one of the leading outsourcing companies in India . Here we provide you the exact results as you want in Web designing .,Sun Softwares,positive,0,2
@drsaleh84 read this on Siri hacking http://t.co/nv23umWE,Siri,neutral,4,5
