text,target,label
"kapolri : 500 wni berhasil lolos ke suriah gabung $T$ : islam times - "" dalam beberapa bulan ada puluhan yang d ... https://t.co/vgsSPL08XN",isis,1
"2.rasulullah saw menjawab , iya , dia wajib ber $T$ tanpa ada peperangan didalamnya , yaitu dengan haji dan umarah . ( hr . ibnu majah 2901 )",jihad,1
"topeng $T$ $T$ : ancaman "" islamic state "" dimalaysia . http://t.co/OB8Xa0xbAI 3118949982 , topeng $T$ , tue mar 31 08:02 : 00 +0000 2015 , jihad",jihad,0
isis dikabarkan membunuhi $T$ di homs http://t.co/dx62rSYq9U lewat @sharethis . kalau berita ini betul ... betapa biadapnya isis .,mujahidin,-1
"hima esp unpad proudly present "" infaq talaqi "" . jumat 25 okt 2013 @ . mesjid al- $T$ unpad lt . 2 . pk . 16.00 . pembicara @tontonaulia . be there !",jihad,0
tweet ke -20.000 buat pak presiden deh . tau kan siapa ? ya buat pak @barack $T$ lah . presiden amerika :) ),obama,1
"ikrar masyarakat ponorogo menolak hti . musnahkan $T$ fpi dan hti #bubarkanhti "" pemuda ponorogo jaga nkri ... https://t.co/z5P8JbSeYA",isis,1
keempatblas ---> @liongkytan comic tionghoa asal $T$ . ga ada sama skali hubungannya sama jeki chan . tapi pemilik klining tongfang #ff,cina,0
"setelah zainal diangkat jadi pimpinan , aman † membuat † video call † dari penjara meminta jaringan jad segera ber $T$ & memberikan dukungan kepada zainal @joxzin_jogja , @donywenas , @fadjroel #boikotpendukungteroris",jihad,0
@pardedereza indahnya $T$ cok :) $,islam,1
"kempen kebersihan perdana masyair kempen ini telah dilancarkan oleh yb menteri dato dr $T$ yusof rawa , menteri di jpm ( agama ) di makkah pada 16/8 / 2019 kita pamerkan kepada dunia , satu lagi ® πpakej ® π model ... https://t.co/afEoLJOYFh",mujahid,1
$T$ dalam tinjauan ahlussunnah http://t.co/3RgvRqQC49,isis,0
66.karena itu wajar jika banyak pihak yang meyakini bahwa $T$ sengaja dibuat untuk menghalangi tegaknya khilafah yang sesungguhnya . #7meihtimenang #umatbersamahti #islamselamatkannegeri,isis,0
copas status ustadz azzam $T$ izzulhaq : orang-orang ' santun dan ramah ' yg mengaku penjaga kebhinekaan ... https://t.co/8X0IVhzE7G,mujahid,1
saya tak akan habiskan uang untuk menonton star wars . tunggu donlotan gratis saja . $T$ sudah banyak ambil uang indonesia :),amerika,-1
... rt @anihns : #garagarage $T$ sekarang berkulit hitam @gepamungkas,obama,-1
yes :) rt @saljuapi : @andienaisyah aku masih inget betul pilgub kemarin mbandien juga memilih dukung $T$ :),jokowi,1
"tak ada yg menyangka pimpinan tertinggi $T$ , omar maute , memiliki istri berkewarganegaraan indonesia #aiman https://t.co/nqpwGJXDdZ",isis,-1
mereka yg telah syahid akan tetap hidup dalam semangat mujahid / $T$ generasi muda palestina . anak 2 yg tumbuh dan melihat kekejian zionist pada keluarga mereka akan menjadi pejuang tangguh yg gak kenal rasa takut dlm membela tanah leluhur mereka . inilah yg ditakutkan zionist . https://t.co/fYNPQ3GMrD,mujahidah,1
""" dilihat dari segi sumber daya persenjataan dan manusia , $T$ pasti bakal kewalahan dlm menjalankan ® π ¶ ¢ ® π alex anas http://t.co/ZjVfJnGgWG """,isis,1
ada ben . ada lebih dari 4 orang tadi . orang $T$ lagi tadi .,islam,0
"warna libanon ktp iran rt @rimanews : warga lebanon melawan , $T$ dipukul mundur http://t.co/zg44UYg6fg",isis,1
"kalo $T$ turun , baru gue kasih :) rt @fdnh_ : bang , ava lo keren , lebih keren lagi kalo jari jempol bukan jari tengah =) * anakteladan *",sby,-1
"hati-hati , tolak kekerasan $T$ bukan ide khilafah http://t.co/geaGhhleLx",isis,0
$T$ telah membuat kami murka $T$ = israel #palestinesolidaritycampaign,isis,-1
kok kode jari telunjuknya sama antara pks dan teroris wahhabi $T$ ? kebetulan ? atau sesama secara ideologis ? https://t.co/0ogphIFpvX,isis,-1
"me too :) rt @arie_kriting : goodluck mentor saya @regzindahood untuk performnya di $T$ , .. dan selamat hari kasih sayang juga .. :) )",malaysia,1
* memali - tulisan nakhaei ahmad tiup semangat $T$ & syahid * dr kamarul zaman yusoff berkata banyak pihak yang ... https://t.co/oJRTnpAhRS,jihad,0
#kabar kali ini terduga teroris yang diidentifikasi polri sebagai pemimpin $T$ indonesia itu tewas dalam serangan drone di suriah . https://t.co/II8IcBis7I,isis,1
"@pardedereza @ki $T$ - aaaaakk , ini kan choki yg suci 4 . minta tanda tangan dong ... $T$ . #sulit",wiranto,1
"kenyataan media terbaru yb dato dr $T$ yusof rawa 1 . sekali lagi , merujuk kepada pertemuan saya bersama wakil transgender jumaat lalu . saya sentiasa terbuka untuk membincangkan isu yang sensitif . saya ... https://t.co/lLwVxJeWyQ",mujahid,0
"mantan anggota milisi perempuan $T$ bicara soal $T$ yang bengis : sering lihat kebengisan $T$ , khadijah meny ... http://t.co/Ydu6FgUTd2",isis,1
"padahal $T$ udah keren dateng ke pelantikan rt @yudha_khan : ini orang 2 pks masih aja nyinyirin jokowi , udah atuh mas ikhlas ih",prabowo,1
"live streaming tabligh akbar bersama gurunda habib @salimsegaf di masjid al $T$ , medan sumatera utara . https://t.co/mMIg5plxnm https://t.co/HbIhz3qm0j",jihad,0
"2 tetesan yg plg dicintai allah : ~ air mata karena perasaan takut kpd allah & ~ darah yg mengalir karena $T$ fisabililah tirmidzi , 1669",jihad,1
"tari tor-tor mau di klaim $T$ ? ? lama kelamaan @borisbokir bakal di klaim juga kayaknya nih ... - _ - """,malaysia,-1
"himah yang kedua : muslim harus memiliki semangat ber $T$ di jalan allah , memperjuangkan agama islam yg rahmatan lil alamin ini ..",jihad,1
"balas dendam , wanita irak tebas dan masak kepala militan-militan $T$ : seorang wanita irak mengklaim dirinya ... https://t.co/MjqtAu7Aqc",isis,-1
"@eae18 @herrreza @uinjktofficial maaf pak ini bukan hoax , ini memang benar adanya saya tinggal di ciputat , dan teman saya sendiri yg bercerita , soal $T$ gila ini https://t.co/PsTT6XhCey",jihad,-1
"polisi tolak demo 2 desember di bundaran hi karena mengganggu yang ber $T$ menafkahi keluarga negeri ini , ... https://t.co/bzH0c4z4iw",jihad,1
panglima mujahidin suriah bongkar konspirasi $T$ dengan iran http://t.co/Kl64s8TJfx,isis,1
"mengapa sih hanya $T$ aja yg bertentangan pancasila , syiah , ahmadiyah , bgm bertentangan juga kan ?",isis,-1
bagus klo gitu rw @rizqonadhra : @babecabiita $T$ udah berangkat dan jadi relawan di palestina lebih dulu sebelum kita berfikir gitu be .,fpi,1
"live report "" satu-satunya jalan untuk melepaskan palestina dari cengkraman zionis adalah $T$ fii sabilillah . "" , ucap ahmad heryawan , gubernur jabar pada orasi #bandunguntukpalestina . "" enyahlah , israel ! "" #harapanamalmulia #amalmulia #muliadenganamalterbaik #greatreturnmarch https://t.co/sjcrp5UR7p",jihad,1
"islam untuk semua , jangan ikut kaca mata melayu sahaja putrajaya - menteri hal ehwal agama di jabatan perdana menteri datuk dr $T$ yusof rawa menggesa penyataan islam yang inklusif dan ... https://t.co/ex7sDJFOju",mujahid,1
pasukan yaman tewaskan tersangka pemimpin $T$ : pasukan yaman menewaskan tersangka pemimpin $T$ dala ... https://t.co/9kV6t01YJP,al qaeda,-1
#headline perempuan arab saudi berbondong-bondong bergabung dengan $T$ : http://t.co/Rm94MANwLq,al-qaeda,-1
obama kirim surat kpd pmimpin spiritual iran soal $T$ . artinya : ( raja kafir dunia krm srt kpd gembong munafiq dunia soal mujahidin sunni ),isis,0
@aryanovrianus @frimawan yah ga jadi di masukin $T$ song bang . hehehe,islam,0
hujannya awet kayak hubungan bilateral $T$ dan brunei .,indonesia,1
kemaren nonton bioskop .. minggu ini nonton standup .. minggu depan nonton badminton $T$ open . terus nonton theater-nya kapan bang ? ?,indonesia,1
@standupindo_ $T$ hahahah mas dono ini !,sby,0
"tito karnavian , membedakan tipe teroris yg berkembang saat ini , tipe pertama alumni suriah , tipe kedua leaderless $T$ #aiman #kompastv https://t.co/lE14V8OLsi",jihad,0
"al qaeda akan menculik orang barat atas perintah al zawahiri : islamtimes - pemimpin $T$ , aymen al zawahi ... https://t.co/bVX0U79iID",al-qaeda,-1
ntar malem di kfc kemang jam 7 ! .. dtg yaak ! rt @fanssuperr : @jonincindy_ $T$ @joni_cindy live stream ( cont ) http :/ / tl.gd/gia1fv,sby,1
ldr terkadang lebih kejam daripada $T$ .,fpi,0
ciri 2 salafusolleh : 1 . sibuk berdakwah / $T$ smpai x sempat berusaha dimuka bumi .,berjihad,1
$T$ = sabaaar be yaa * ngelus dada . dada si itu * rw @rio_laksamana : $T$ = situ budianduk yaa ? rt @babecabiita $T$ = sekarang bobok yuks : *,sby,0
"untuk para pendukung jokowi dan $T$ , dibaca yaa :) rt @new_wulandari : cc : @pandji @gepamungkas @jojosuherman pic.twitter.com/eugqym3j9r",prabowo,0
"kalo pilih $T$ , kayaknya bakal gini-gini aja deh , liat aja partai pendukungnya , itu partai yg udah 10 tahun duduk di kursi dpr .",prabowo,0
"63.selain sepak terjangnya jauh dari syariah islam , $T$ sudah terlanjur dikenal sebagai boneka barat . #allahbersamahti #khilafahselamatkanindonesia #antikhilafahantiislam #khilafahajaranislam #htilayakmenang #htilanjutkanperjuangan",isis,-1
pengganas # $T$ / #daesh sentiasa merekrut orang yang jahil untuk berbai ® πat dengan ideology sesat mereka ! berwaspada dalam talian ® π jangan jadi mangsa pengganas ! #malaysiamasihaman #tolak $T$ https://t.co/04vHgolMfq https://t.co/hPyDngtntQ,isis,1
"tak hanya $T$ harta , namun juga $T$ dg tentara #muslimarmies4gaza",jihad,1
pergi ber $T$ tapi jadi pencuci tandas ® π ayob khan . ramai orang malaysia pergi ber $T$ di luar negara tetapi ... https://t.co/xhzkFX0fli,jihad,-1
"kita hrs bkerja keras sampai indonesia bebas korupsi ! - jokowi tdk prlu brdarah 2 , ckp tdk korupsi & lawan korupsi kalian udh $T$ ! - ahok https://t.co/lKXJLcLUXA",berjihad,1
"kalo nanti $T$ kalah di pilpres , dia nyanyi "" hilang permataku , hilang harapanku , yang kupupuk dengan yusuf kallaaa """,jokowi,0
"kasturi kazanlak tu apa ? nanti nak tanya lebai google sat ... 019-478 8295 ( $T$ ) , 017-551 0102 ( hanafi ) .",mujahid,0
"apakah anda beranggapan hanya duit atau harta benda itu "" sedekah "" ? mengajar orang ilmu bermanfaat juga adalah "" sedekah "" . ilmu adalah harta menuntut ilmu juga adalah sebahagian dari difinasi "" ibadah "" . juga adalah $T$ . sumber gambar dibawah dari : https://t.co/EBahAFwZYF . https://t.co/QgFwQuLMA6",jihad,1
@allanbona benerin lcd berapa sih $T$ ?,buddha,0
syarat $T$ ... https://t.co/VGuBkby3eL,jihad,0
"so , yg mau nambah ilmu seputar ekonomi syariah yg lg in , blh datang jumat ini jam 16.00 di masjid al- $T$ unpad :) @areaunpad @himaespunpad",jihad,0
"6 . sebagaimana kalau seseorang yang meniatkan dalam makannya untuk memperkuat fisik dalam ber $T$ , shalat atau puasa",jihad,0
3 event tv berturut-turut ga bisa nonton . di saat seperti ini lah gue selalu kepikiran buat beli hape $T$ yg ada tv-nya . :|,cina,1
"kita hanya peduli setengah , hanya peduli ketika $T$ bikin onar , tapi diam ketika ribuan orang suriah mati dibabat , disiksa assad .",isis,-1
"inna lillah ! keji , $T$ menyembelih mujahid jabhah islamiyah http://t.co/ljsWbUY3iM via @sharethis",isis,-1
"untuk serangan balasan , kelompok $T$ afrika melancarkan serangan mematikan di markas militer pasukan asing di timbuktu , mali utara . https://t.co/nmCIRJJsdR",jihadis,-1
"kahwin bawah umur harus diharamkan ' kerajaan membayangkan untuk mengharamkan perkahwinan bawah umur dalam jangka panjang . sebagai permulaan , menteri di jabatan perdana menteri , datuk dr $T$ yusof rawa , ... https://t.co/lbxInoKJEU",mujahid,0
rw @janelahjanedong rt @astiswasti rt @sandraatiya rt @ewitewit rt @aderumnurlyta rt @babecabiita tmulawak beraskencur.mlut ktawak $T$ hncur,hti,0
"hari ini film @ctsmovie udah tayang di bioskop 2 di $T$ , nah besok sama lusa kota nobar di jogja dan solo pic.twitter.com/xbtcw8lkld",indonesia,1
he budha kufar zalim myanmar sri lanka sungguh insya allah kalian akan kami qisas dg $T$ qital yg membuat kalian tahu diri .,jihad,-1
"mantan $T$ , tolak bergabung dengan isis : jakarta , http://t.co/1voyZPZDOm†®π akhir maret lalu , indonesia dihe ... http://t.co/GDmJ9HUIrz",jihadis,-1
mudzakarah nasional majelis † $T$ https://t.co/OAQRiYxndv,mujahidin,1
"syiah lg tipu tpu sjk kpn $T$ brdemokrasi @beritasatu : jalaluddin khawatir $T$ dipelihara demi kepentingan politik http://t.co/lQZMTw6hMW """,isis,-1
mahasiswa inggris bergabung dengan kelompok $T$ di somalia http://bit.ly/5SY72y,jihad,0
"kurangi tekanan mosul , $T$ serang bagian barat iraq https://t.co/h52LQAJkEa",isis,-1
$T$ = sekarang bobok yuks : *,sby,0
"militan $T$ kembali serang hotel di somalia , 5 orang tewas : serangan ini terjadi hanya tiga minggu set ... https://t.co/WlMnO0NozX",al shabaab,-1
"36 . dakwah dan $T$ juga dijadikan sebagai metode untuk mengubah masyarakat , bangsa dan umat lain agar bersedia hidup di bawah naungan islam . #khilafahselamatkannegeri #khilafahajaranislam #islamrahmatbagisemua",jihad,0
"khn td udh dblg media ngomong soal $T$ , lg maraknya yg pny kasus korupsi bkn ? rt @kartikayudhisti : nah makanya apa ... http :/ / m.tmi.me/q26ts",dpr,-1
""" @mukaffar : video $T$ isis asal indonesia , kok tidak diblokir ? http://t.co/i5rzYwnYab "" > > maklum menterinya ... < <",jihadis,-1
"62.lagi - lagi , upaya pengaitan khilafah sebagai sistem politik yang barbar , kejam dan seringkali menumpahkan darah dengan mengangkat $T$ sebagai representasi khilafah , pasti akan mengalami kegagalan . #allahbersamahti #khilafahselamatkanindonesia #antikhilafahantiislam",isis,0
"@dimasekop lo kan $T$ , kenapa insya allah.haha iya ahh , asikan di bawah biar bisa ada yang nonton banyak",kristen,1
generasi muda pengibar merah putih . #insiderepublikatoday #bacakoranrepublika #resonansi @asmanadia yuk mention para atlet favoritmu ? respek ! cc @ $T$ @aniesbaswedan @sandiuno @imam_nahrawi pic.twitter.com/md3jt2xnx1,jokowi,1
"copot kepala bin & kapolri ! seruan $T$ melawan preman liar & preman bayaran tidak akan saya cabut , sampai mereka yang terlibat di copot ! bin & polri adalah petugas negara , milik negara . bukan milik rezim ! * hrs * ® π https://t.co/Y0sMOxOMgv",jihad,-1
"kerusuhan yg disiarkan & disebarkan lewat berbagai video , foto & percakapan itu membangkitkan ghirah sesama ansharut daulah atau para pendukung $T$ , kata direktur pelaksana pusat kajian radikalisme & deradikalisasi ( pakar ) adhe bhakti . @fadjroel #boikotpendukungteroris",isis,-1
rembug tentang pendidikan dg anggota dewan dari fraksi gerindra sby.dari komisi d . bersm guru 2 yysn al $T$ sby https://t.co/bYyMKwNVIo,jihad,0
video peperangan $T$ merebut gudang senjata terbesar di aleppo : http://t.co/rPo1BN8OX2 via @youtube,mujahidin,1
semoga para $T$ di bumi syam bisa memberi bantuan kpd warga lokal yg kekurangan makanan di suriah .,mujahidin,1
"umat muslim tidak brsatu , hanya khilafah yg dapat mnyatukan muslim sluruh dunia dan $T$ untuk plestina",jihad,1
memikirkan 2 undangan ke $T$ tahun ini ...,amerika,0
$T$ terbesar umat islam tahun depan adalah mengganti @jokowi . #capekditipu #2019gantipresiden,jihad,-1
"banyak aktifis yg menyangka , stlah deklarasi khilafah versi $T$ lalu bergabung dg mrk , smuanya akan jd mudah dan smua tantangan teratasi .",isis,-1
min openmic @standupindo_ $T$ masih di cafe jenaka ?,sby,0
"15 . publik yang mengetahui $T$ adalah 66,4 % . #smrc https://t.co/ubcq0cYAk6",isis,0
"ustaz somad bongkar rahasia $T$ , ternyata bukan islam https://t.co/qqkM7kVtEd",isis,1
""" bayaran "" bagi yang "" gabung "" dengan teroris isis ? isis rekrut anak dibawah umur untuk "" ber $T$ "" salah satu ... http://t.co/sV2gaxnVOG",jihad,-1
"alhmdulillah , majalah risalah mujahidin terbit lagi ! dapatkan segera ! ; ® π $T$ lisan melalui † media ® π http://t.co/ZEmr1AIupX",jihad,1
"ada 3 faksi pro $T$ di indonesia yg mengirim pasukan ke marawi , mereka bisa saja kmbli ke indonesia melalui pulau 2 kecil indonesia #aiman",isis,1
"$T$ atau wakil rakyat emang bener 2 me-wakili rakyat . rakyat mau jln 2 keluar negri , diwakilin . rakyat mau ipad , diwakilin . - - """,dpr,-1
"acara bela negara dibatalkan , majelis $T$ : apakah tegakkan syariat islam bertentangan pancasila ? https://t.co/fnhuI5pKXd",mujahidin,-1
wahai robb terimalah kematianku dalam perang ini * * * dan tumpahkanlah darahku di atas jalan $T$ ini ® π #nasyid,jihad,-1
dukungan kelompok garis keras di indonesia terhadap negara islam irak dan suriah $T$ menjadi perhatian . baca di http://t.co/HUFG2fYvpb,isis,-1
mari sebarkan > perancis tangkap 8 orang yang hendak $T$ ke suriah : paris - tujuh pria da ... http://t.co/zhOqkOUQVq | #demokrasimati,berjihad,-1
"klo ga ada kampanye $T$ , blackberry ga bakal laku ini mah",obama,0
gerakan radikalisme keagamaan seperti # $T$ yang menyulut aksi kekerasan dan terorisme menjadi gejala modern nan kompleks di indonesia .,isis,-1
"wahai muslim cyber army .. wahai para $T$ cyber .. ayo lanjutkan jihad di medsos , tanpa rasa lelah , dan tanpa rasa takut .. ! ! #2019gantipresiden * hrs * ® π https://t.co/61yGn8iXvX",mujahid,-1
indonesia akan membuka kbri di ramalah . langkah konkrit mendukung kemerdekaan palestina . terima kasih pak @ $T$ _do2 #kaaforpalestine,jokowi,1
"da wanda ya shirya , da wanda ya yaudari matasa shiga kungiyar , da wadanda suka kai harin duk an basu hukuncin kisa . ba inda yan $T$ suka tsira , har gara ka kujesu . https://t.co/gScJbtg6Iy",isis,0
@ $T$ _do2 mantabb pakk ! semangat pak :),jokowi,1
"67.khilafah ( baca : islam ) memang memiliki konsep penaklukan wilayah ( fut √ ªh √ ¢ t ) dan $T$ . namun , keduanya jauh berbeda dengan penjajahan ala barat . #7meihtimenang #umatbersamahti #islamselamatkannegeri",jihad,1
"jangan "" $T$ "" di sembarang tempat :) rt @my_deedee : duuhhh ... suruh ke mesir aja gih ... jelas tuh jihadnya ... hih "" @afidha_amrullah eva ...",jihad,-1
"mantap , setelah pbnu dan gp ansor , kini santri nusantara mulai angkat bicara dan menyatakan sikap . inilah $T$ ... https://t.co/apvqeJHc9c",jihad,0
"36 wni telah ditangkap di malaysia karna dicurigai akan bergabung dengan $T$ , pemerintah mengaku tidak mendapat info dari otoritas malaysia",isis,1
update libya anshar al-sharia ( teroris turunan $T$ di libya ) kini telah mendeklarasikan islamic emirate ... http://t.co/nvD38eYOsE,al-qaeda,0
"semoga diri terhindar dari $T$ keyboard / mufti instagram , allahul musta'an",mujahid,-1
"malem ini yg pake bb pm.nye pada sok $T$ nih , solat juga kaga , pada sok inggris juga , lahir aje di dukun",islam,-1
hai ® πah tahrir al-syam ( hts ) menggerebek markas sel organisasi daulah islamiyah ( $T$ ) di idlib . https://t.co/WU0MqVZpGf,isis,-1
lama nabung akhirnya kesampaian juga ke $T$ pic.twitter.com/rknp6tl3bn,singapura,1
"$T$ di dukung sama fpi , kalo $T$ jadi , mungkin fpi makin leluasa buat rusuh di negara kita . #huft",prabowo,-1
@rosipradita @widyarisky $T$ gak punya toko pada rese nih,cina,-1
apa aku harus jadi anggota $T$ supaya gampang untuk tidur ?,dpr,-1
liputan langsung dari suriah catat ! $T$ yang diserang di sini bukanlah isis sebagaimana pemberitaan salah ... http://t.co/0mGengidJ1,mujahidin,0
rt @idolgolive : @jonincindy_ $T$ @jonincindy_cjr 15.30 wib kita seru-seruan bareng @marcellotahitoe di ... http :/ / m.tmi.me/qha5q,sby,1
"5 . bayangkan 5 polisi bisa tewas , sementara napi terpidana teroris yang harusnya tidak bersenjata , dapat merebut senjata dg mudah ? kalau begitu siapa yang tolol di sini ? tuduhan utamanya lagi-lagi $T$ , ujung-ujungnya mendiskreditkan khilafah .",isis,-1
"a indonisiya ma asirinsu na tonuwa , wannan mai kiran kansa malamin qur'ani zai rasa ransa sakamakon harin farkon da yan # $T$ suka kai - da goyon bayansa . allah ya rabamu da malamai masu jefa musulmai da musulunci cikin hadari , ameen . https://t.co/L6B6hoStyE",isis,0
"rt @afrizalanoda : kalau melihat indonesia dg kacamata $T$ atau eropa , semua yang ada di sini salah .",amerika,-1
"serangan $T$ di kirkuk irak tewaskan 46 orang , 133 lainnya luka-luka : korban jiwa telah bertambah akibat ser ... https://t.co/padRdrTzmk",isis,-1
@ $T$ _do2 sama sama pak :),jokowi,1
"kurangi tekanan mosul , $T$ serang bagian barat iraq : jakarta ( antara news ) ® π kelompok teroris † $T$ memperlua ... https://t.co/AUWEgknULT",isis,-1
peluang bisnes untuk semua ! ! ' ' orang-orang yang beriman dan berhijrah serta $T$ di jalan allah dengan ... http://t.co/KRR2g7NuNj,berjihad,0
"kaya orang yang ada di gedung dpr $T$ rt @twitngaco : ada org gila disana , duh ___ nih ! #ngaco",mpr,-1
"ideologi apa yang mampu menggerakkan pikiran mereka untuk melukai kaum ulama ? ulama itu ada maka indonesia ada , ulama tak ada indonesia tinggal cerita . kurang apa $T$ kaum ulama utk indonesia masa lalu ? ? https://t.co/uYhaGCdQAp",jihad,1
obrolan buku $T$ jengkol karya arlian buana baru saja dimulai https://t.co/C40CtIkpTB,jihadis,0
"i added a video to a @youtube playlist https://t.co/Gc2DJKfOiZ manfaat mencari kawan yang sholih | ust . mas √ ∫ d izzul $T$ , lc",mujahid,1
"kalo $T$ turun , baru gue kasih :) rt @fdnh_ : bang , ava lo keren , lebih keren lagi kalo jari jempol bukan jari tengah =) * anakteladan *",sby,-1
@tolakbigotri basri tangan kanan santoso sekarang jadi bintang iklan teh kotak sosro ... # $T$ #daulahislam #daulah https://t.co/7mHVuyghdt,isis,0
rt @metro_tv : ribuan surat $T$ tertahan di kantor pos http :/ / metrotvn.ws/a259504,prabowo,-1
"kalo $T$ yg gue belajar sih , dengan "" kata 2 cinta "" .. alias diskusi . kalo gak bisa , baru tindakan + doa . yang jelas , jangan ...",islam,1
allahu akbar ... $T$ melawan ke zaliman wajib apalagi seruan imam besar umat islam > wajib < di laksanakan .. https://t.co/HbvW7aYCWL,jihad,1
ashaduallaila haillallah ... rw @luvianaowen : @babecabiita be gue $T$ :(,kristen,1
"kalau ada yang mau membiyayai ana untuk $T$ ke gaza ana siap insha allah , tapi siapa yg mau biyayain ana kesana ?",jihad,1
negara menjadi gaduh setelah akhir 2 ini muncul sekelompok orang yang menganut paham radikal . baik itu radikalisme agama maupun radikalisme sekular . #wechooserahmah kh ma ® πruf amin : negara gaduh setelah ada kelompok radikal yang salah artikan makna $T$ . https://t.co/u9kwdGCXda,jihad,1
"video tegas ! opini dr zakir naik tentang $T$ "" tampar "" para pemfitnah ulama dan pembenci islam https://t.co/XN0dmTOC9u https://t.co/O6xWO7s8V7",isis,0
"assalamu'alaikum saya nangis ngeliat video ini : "" ) 2 menit 20 detik yang semoga bisa membuka mata kalian semua . jika islam bukan teroris dan $T$ bukan berarti perang :) kami ber $T$ dijalan allah dengan berbagai macam tapi tidak dengan kekerasan dan membunuh sesama umat manusia . https://t.co/Vzeh9T2wB2",jihad,1
rt @arrahmah : ranjau $T$ melumpuhkan empat kendaraan militer rezim syiah irak http://t.co/7ZAoM6Tv0F allahu akbar,mujahidin,1
kunci $T$ palestina hadapi penjajah israel https://t.co/1Fu7O5u271,mujahidin,-1
"6.muslim yg ngelakuin kewajiban i ® πdad ( persiapan kekuatan ) n ber $T$ , baik di poso , ambon , filipin , afghanistan #teroris",jihad,0
"i added a video to a @youtube playlist https://t.co/vIHV8PWLBP zaman sekarang akhlak lebih dibutuhkan | ust . mas'ud izzul $T$ , lc",mujahid,1
mereka ingin hancurkan agama allah i ust mas'ud izzul $T$ : https://t.co/0CRmYpZ3vU melalui @youtube,mujahid,-1
@dahliafatmawati $T$ kok :),kpk,1
as secara de facto berperan sebagai benteng pertahanan $T$ di suriah https://t.co/WlU63Yb6RX https://t.co/vRlMfnxwBk,isis,0
"sebentar lagi masuk bulan sya'ban , #syabanceriaramadhanbahagia , $T$ madani televisi "" @tvdakwahanda "" .",mujahidin,1
"ya allah , berikanlah kemenangan kepada $T$ di suriah dan di segala tempat . http://t.co/eFotXBujsw",mujahidin,1
